oid,fountain_type,fountain_code,dog_friendly,amt,coordinates,open_map_address
268,ברזית גליל,B10,False,,"{'x': 34.81192178227934, 'y': 32.05184926883011}","42ד, מעפילי אגוז, תל אביב - יפו, נוה חן, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6767589, ישראל"
269,ברזית גליל,B10,False,,"{'x': 34.76523733642577, 'y': 32.04735655043887}","40, בן צבי, תל אביב - יפו, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6811156, ישראל"
270,ברזית גליל,B10,False,,"{'x': 34.7496350120933, 'y': 32.04544462241265}","42, שמואל בן עדיה, תל אביב - יפו, עג'מי וגבעת עליה, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6803608, ישראל"
271,ברזית גליל,B10,False,,"{'x': 34.78579182875836, 'y': 32.05101949991706}","42, דוד תדהר, התקוה, תל אביב - יפו, עזרא, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6775393, ישראל"
272,ברזית גליל,B10,False,,"{'x': 34.7536956637246, 'y': 32.031008044823984}","44, קהילת קנדה, תל אביב - יפו, יפו, בת ים, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6807644, ישראל"
273,ברזיית עלה,B14,True,,"{'x': 34.78622488778423, 'y': 32.080145920096804}","43, שדרות דוד המלך, הצפון החדש - החלק הדרומי, תל אביב - יפו, הצפון החדש, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6296802, ישראל"
274,ברזית גליל,B10,False,,"{'x': 34.79264663205356, 'y': 32.06393685859768}","46, יצחק שדה, יד אליהו, תל אביב - יפו, רמת ישראל, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6777517, ישראל"
275,ברזית גליל,B10,False,,"{'x': 34.800524282075806, 'y': 32.07293135421355}","46, עליית הנוער, תל אביב - יפו, נחלת יצחק, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6492903, ישראל"
276,ברזיה מרובעת,B11,False,,"{'x': 34.800082746703815, 'y': 32.11604251413839}","46, מוריץ דניאל, נוה אביבים וסביבתה, תל אביב - יפו, נווה אביבים, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
277,ברזית גליל,B10,False,,"{'x': 34.7679999547154, 'y': 32.04439375829984}","47, מנחם ארבר, תל אביב - יפו, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6811156, ישראל"
278,ברזיה מרובעת,B11,False,,"{'x': 34.7679999547154, 'y': 32.04439375829984}","47, מנחם ארבר, תל אביב - יפו, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6811156, ישראל"
279,ברזית גליל,B10,False,,"{'x': 34.83677240815265, 'y': 32.113193808763334}","48, עולי הגרדום, רמת החייל, תל אביב - יפו, ישגב, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6971001, ישראל"
